Invoice_no_json,Client_name_json,Seller_name_json,Item_desc_json,Quantity_json,Total_price_json,Item_desc_clean_json,Matched_Item_desc,File Name,Invoice_no_ocr,Client_name_ocr,Seller_name_ocr,Item_desc_ocr,Quantity,Total_price,Item_desc_clean_ocr,Quantity_diff,Quantity_error_pct,Total_price_diff,Total_price_error_pct,Total_price_label
84652373,Clark-Foster,Nguyen-Roach,Stemware Rack Display Kitchen\nWine Glass Holder Bottle\nCarbon Steel Free Punch,1.0,46.55,stemware rack display kitchennwine glass holder bottlencarbon steel free punch,wine glass holder bottle carbon steel free punch,batch1-0494.jpg,84652373,Clark-Foster,Nguyen-Roach,Wine Glass Holder Bottle Carbon Steel Free Punch,1.0,15.4,wine glass holder bottle carbon steel free punch,0.0,0.0,31.15,66.9172932330827,1
84652373,Clark-Foster,Nguyen-Roach,VTG (4) 7 Ounce Since 1852\nMilk Bottle Wine Carafe Juice\nGlass with Cork Lids,1.0,15.4,vtg 4 7 ounce since 1852nmilk bottle wine carafe juicenglass with cork lids,wine glass holder bottle carbon steel free punch,batch1-0494.jpg,84652373,Clark-Foster,Nguyen-Roach,Wine Glass Holder Bottle Carbon Steel Free Punch,1.0,15.4,wine glass holder bottle carbon steel free punch,0.0,0.0,0.0,0.0,0
84652373,Clark-Foster,Nguyen-Roach,Vintage Crystal Red Wine\nGlasses NOS West Germany\n1983 6 10 ounce elegant stems,1.0,39.0,vintage crystal red winenglasses nos west germanyn1983 6 10 ounce elegant stems,vintage crystal red wine,batch1-0494.jpg,84652373,Clark-Foster,Nguyen-Roach,Vintage Crystal Red Wine,1.0,39.0,vintage crystal red wine,0.0,0.0,0.0,0.0,0
84652373,Clark-Foster,Nguyen-Roach,3 Ikea Stainless Steel 4-bottle\nWine Rack 300.557.60 - great\ncondition gift it!,4.0,110.0,3 ikea stainless steel 4bottlenwine rack 30055760  greatncondition gift it,3 ikea stainless steel 4bottle,batch1-0494.jpg,84652373,Clark-Foster,Nguyen-Roach,3 Ikea Stainless Steel 4-bottle,4.0,110.0,3 ikea stainless steel 4bottle,0.0,0.0,0.0,0.0,0
37451664,"Williams, Schneider and Gomez",Scott-Howard,PUMA Boys Youth Universal FG Jr Soccer Cleats 2.5 White High Red NEW Futbol,2.0,43.98,puma boys youth universal fg jr soccer cleats 25 white high red new futbol,vintage crystal red wine,batch1-0494.jpg,84652373,Clark-Foster,Nguyen-Roach,Vintage Crystal Red Wine,1.0,39.0,vintage crystal red wine,1.0,50.0,4.979999999999997,11.323328785811725,1
37451664,"Williams, Schneider and Gomez",Scott-Howard,Lotto Youth Boys Fuerzapura L500 Jr Soccer Cleats Size 2.5 White Blue M6147 2.5Y,5.0,109.94,lotto youth boys fuerzapura l500 jr soccer cleats size 25 white blue m6147 25y,3 ikea stainless steel 4bottle,batch1-0494.jpg,84652373,Clark-Foster,Nguyen-Roach,3 Ikea Stainless Steel 4-bottle,4.0,110.0,3 ikea stainless steel 4bottle,1.0,20.0,-0.060000000000002274,0.0545752228488287,0
40108666,Hester Inc,"Bailey, Murray and Lewis",Microsoft Xbox One 1 - 500 GB\nConsole - Black w/ Controller &\nPower Supply GOOD,1.0,192.5,microsoft xbox one 1  500 gbnconsole  black w controller npower supply good,vintage crystal red wine,batch1-0494.jpg,84652373,Clark-Foster,Nguyen-Roach,Vintage Crystal Red Wine,1.0,39.0,vintage crystal red wine,0.0,0.0,153.5,79.74025974025975,1
40108666,Hester Inc,"Bailey, Murray and Lewis",Nintendo DSOriginal NTR-001\nConsole - Camouflage - Tested\nWorks,3.0,3.27,nintendo dsoriginal ntr001nconsole  camouflage  testednworks,vintage crystal red wine,batch1-0494.jpg,84652373,Clark-Foster,Nguyen-Roach,Vintage Crystal Red Wine,1.0,39.0,vintage crystal red wine,2.0,66.66666666666666,-35.73,1092.6605504587155,1
40108666,Hester Inc,"Bailey, Murray and Lewis",Nintendo 2DS Console Blue\nJapan model Combine Shipping\navailable 2,5.0,302.45,nintendo 2ds console bluenjapan model combine shippingnavailable 2,wine glass holder bottle carbon steel free punch,batch1-0494.jpg,84652373,Clark-Foster,Nguyen-Roach,Wine Glass Holder Bottle Carbon Steel Free Punch,1.0,15.4,wine glass holder bottle carbon steel free punch,4.0,80.0,287.05,94.90824929740454,1
73285932,"Olson, Cisneros and Moore","Merritt, Williams and Young",Bcbgeneration Black Sleeveless Lace Back Cut Out Dress Sz 2,2.0,6.58,bcbgeneration black sleeveless lace back cut out dress sz 2,3 ikea stainless steel 4bottle,batch1-0494.jpg,84652373,Clark-Foster,Nguyen-Roach,3 Ikea Stainless Steel 4-bottle,4.0,110.0,3 ikea stainless steel 4bottle,-2.0,100.0,-103.42,1571.7325227963527,1
73285932,"Olson, Cisneros and Moore","Merritt, Williams and Young",2pcs baby boys clothes cotton hooded top+pants baby boys Outfits gentleman,5.0,60.45,2pcs baby boys clothes cotton hooded toppants baby boys outfits gentleman,vintage crystal red wine,batch1-0494.jpg,84652373,Clark-Foster,Nguyen-Roach,Vintage Crystal Red Wine,1.0,39.0,vintage crystal red wine,4.0,80.0,21.450000000000003,35.483870967741936,1
73285932,"Olson, Cisneros and Moore","Merritt, Williams and Young",NWT $1200 J.Crew Silk Chiffon Ivory Wedding Dress with Beading,1.0,324.5,nwt 1200 jcrew silk chiffon ivory wedding dress with beading,vintage crystal red wine,batch1-0494.jpg,84652373,Clark-Foster,Nguyen-Roach,Vintage Crystal Red Wine,1.0,39.0,vintage crystal red wine,0.0,0.0,285.5,87.98151001540832,1
73285932,"Olson, Cisneros and Moore","Merritt, Williams and Young",Shein Blue And White Striped Wrap Dress,5.0,44.0,shein blue and white striped wrap dress,lolita wine bouquet hand,batch1-0494.jpg,84652373,Clark-Foster,Nguyen-Roach,"Lolita ""Wine Bouquet"" Hand",1.0,22.0,lolita wine bouquet hand,4.0,80.0,22.0,50.0,1
73285932,"Olson, Cisneros and Moore","Merritt, Williams and Young",Guess Dress Size 6,2.0,44.0,guess dress size 6,vintage crystal red wine,batch1-0494.jpg,84652373,Clark-Foster,Nguyen-Roach,Vintage Crystal Red Wine,1.0,39.0,vintage crystal red wine,1.0,50.0,5.0,11.363636363636363,1
73285932,"Olson, Cisneros and Moore","Merritt, Williams and Young",CLIFFORD & WILLS BLACK NET/MESH OVER TAUPE LONG DRESS SIZE 4,5.0,32.95,clifford  wills black netmesh over taupe long dress size 4,vintage crystal red wine,batch1-0494.jpg,84652373,Clark-Foster,Nguyen-Roach,Vintage Crystal Red Wine,1.0,39.0,vintage crystal red wine,4.0,80.0,-6.049999999999997,18.361153262518958,1
73285932,"Olson, Cisneros and Moore","Merritt, Williams and Young",Matilda Jane Women's Light Rising High Low Green Floral Dress Size L Pockets,3.0,165.0,matilda jane womens light rising high low green floral dress size l pockets,vintage crystal red wine,batch1-0494.jpg,84652373,Clark-Foster,Nguyen-Roach,Vintage Crystal Red Wine,1.0,39.0,vintage crystal red wine,2.0,66.66666666666666,126.0,76.36363636363637,1
15288019,Wilson-Wilson,Fernandez Ltd,Easy No Tie Rubber Shoe Laces\nColored Trainers Snickers Kids\n+ Adults Shoelaces,1.0,1.71,easy no tie rubber shoe lacesncolored trainers snickers kidsn adults shoelaces,vintage crystal red wine,batch1-0494.jpg,84652373,Clark-Foster,Nguyen-Roach,Vintage Crystal Red Wine,1.0,39.0,vintage crystal red wine,0.0,0.0,-37.29,2180.701754385965,1
57290992,"Johnson, Daniels and Ramirez",Adams PLC,7'x4' Blue Random Marble\nDining Hallway Table Top Lapis\nLazuli Inlay Decor E947A,3.0,27040.5,7x4 blue random marblendining hallway table top lapisnlazuli inlay decor e947a,lolita wine bouquet hand,batch1-0494.jpg,84652373,Clark-Foster,Nguyen-Roach,"Lolita ""Wine Bouquet"" Hand",1.0,22.0,lolita wine bouquet hand,2.0,66.66666666666666,27018.5,99.918640557682,1
57290992,"Johnson, Daniels and Ramirez",Adams PLC,6'x3' White Marble Dining Table\nTop Multi Inlay Floral Elephant\nArt Decor H4952,4.0,28197.36,6x3 white marble dining tablentop multi inlay floral elephantnart decor h4952,vintage crystal red wine,batch1-0494.jpg,84652373,Clark-Foster,Nguyen-Roach,Vintage Crystal Red Wine,1.0,39.0,vintage crystal red wine,3.0,75.0,28158.36,99.86168917941254,1
56908352,"Evans, Curtis and Salinas","Lozano, Wang and Smith",Rage By Bob Woodward - Donald Trump NEW HARDCOVER Sept 2020,5.0,126.12,rage by bob woodward  donald trump new hardcover sept 2020,vintage crystal red wine,batch1-0494.jpg,84652373,Clark-Foster,Nguyen-Roach,Vintage Crystal Red Wine,1.0,39.0,vintage crystal red wine,4.0,80.0,87.12,69.07706945765936,1
56908352,"Evans, Curtis and Salinas","Lozano, Wang and Smith",Spectacular Ireland Coffee Table Book - very large,4.0,44.0,spectacular ireland coffee table book  very large,wine glass holder bottle carbon steel free punch,batch1-0494.jpg,84652373,Clark-Foster,Nguyen-Roach,Wine Glass Holder Bottle Carbon Steel Free Punch,1.0,15.4,wine glass holder bottle carbon steel free punch,3.0,75.0,28.6,65.0,1
56908352,"Evans, Curtis and Salinas","Lozano, Wang and Smith","The Complete Life's Little Instruction Book by Brown, H. Jackson, Jr.",4.0,18.0,the complete lifes little instruction book by brown h jackson jr,wine glass holder bottle carbon steel free punch,batch1-0494.jpg,84652373,Clark-Foster,Nguyen-Roach,Wine Glass Holder Bottle Carbon Steel Free Punch,1.0,15.4,wine glass holder bottle carbon steel free punch,3.0,75.0,2.5999999999999996,14.444444444444443,1
20012449,Combs Inc,Jackson Ltd,Press Wine 20L Fruit Cider\nApple Crusher Juice Grape\nStainless Maker Grapes New,1.0,328.9,press wine 20l fruit cidernapple crusher juice grapenstainless maker grapes new,3 ikea stainless steel 4bottle,batch1-0494.jpg,84652373,Clark-Foster,Nguyen-Roach,3 Ikea Stainless Steel 4-bottle,4.0,110.0,3 ikea stainless steel 4bottle,-3.0,300.0,218.89999999999998,66.5551839464883,1
20012449,Combs Inc,Jackson Ltd,MARIJUANA LEAF WINE STOPPER,4.0,31.68,marijuana leaf wine stopper,vintage crystal red wine,batch1-0494.jpg,84652373,Clark-Foster,Nguyen-Roach,Vintage Crystal Red Wine,1.0,39.0,vintage crystal red wine,3.0,75.0,-7.32,23.10606060606061,1
87734908,"Buckley, Wright and Chase","Chase, Green and Bailey","the invisible life of addie larue, EBOOK new original high quality, updated 2020",2.0,6.58,the invisible life of addie larue ebook new original high quality updated 2020,vintage crystal red wine,batch1-0494.jpg,84652373,Clark-Foster,Nguyen-Roach,Vintage Crystal Red Wine,1.0,39.0,vintage crystal red wine,1.0,50.0,-32.42,492.7051671732523,1
92059706,"Barton, Decker and Ferguson","Archer, Davis and Hudson",Working - Super Nintendo SNES Original System Console w/ Mario World!,4.0,374.0,working  super nintendo snes original system console w mario world,3 ikea stainless steel 4bottle,batch1-0494.jpg,84652373,Clark-Foster,Nguyen-Roach,3 Ikea Stainless Steel 4-bottle,4.0,110.0,3 ikea stainless steel 4bottle,0.0,0.0,264.0,70.58823529411765,1
92059706,"Barton, Decker and Ferguson","Archer, Davis and Hudson",Sony PlayStation 5 Console - PS5- PRESALE- Disc Version Pre Order Confirmed,3.0,2804.97,sony playstation 5 console  ps5 presale disc version pre order confirmed,vintage crystal red wine,batch1-0494.jpg,84652373,Clark-Foster,Nguyen-Roach,Vintage Crystal Red Wine,1.0,39.0,vintage crystal red wine,2.0,66.66666666666666,2765.97,98.60961079797644,1
92059706,"Barton, Decker and Ferguson","Archer, Davis and Hudson",Nintendo Wii Console Mario Kart Controller Wii Fit 2 Board Remotes Game BUNDLE,3.0,659.9,nintendo wii console mario kart controller wii fit 2 board remotes game bundle,vintage crystal red wine,batch1-0494.jpg,84652373,Clark-Foster,Nguyen-Roach,Vintage Crystal Red Wine,1.0,39.0,vintage crystal red wine,2.0,66.66666666666666,620.9,94.09001363843007,1
72591450,"Allen, Murray and Carroll","Bishop, Kelley and Wright",Fast Dell Optiplex Windows 10\nPro Desktop Computer Dual\nCore 6GB 160GB DVD WIFI,3.0,395.84,fast dell optiplex windows 10npro desktop computer dualncore 6gb 160gb dvd wifi,3 ikea stainless steel 4bottle,batch1-0494.jpg,84652373,Clark-Foster,Nguyen-Roach,3 Ikea Stainless Steel 4-bottle,4.0,110.0,3 ikea stainless steel 4bottle,-1.0,33.33333333333333,285.84,72.21099434114794,1
72591450,"Allen, Murray and Carroll","Bishop, Kelley and Wright",custom gaming computer,2.0,990.0,custom gaming computer,lolita wine bouquet hand,batch1-0494.jpg,84652373,Clark-Foster,Nguyen-Roach,"Lolita ""Wine Bouquet"" Hand",1.0,22.0,lolita wine bouquet hand,1.0,50.0,968.0,97.77777777777777,1
72591450,"Allen, Murray and Carroll","Bishop, Kelley and Wright",AMD Dual Core 3.9Ghz 4GB\nDDR3 500GB WiFi Windows 10\noffice Desktop PC Computer,3.0,824.97,amd dual core 39ghz 4gbnddr3 500gb wifi windows 10noffice desktop pc computer,vintage crystal red wine,batch1-0494.jpg,84652373,Clark-Foster,Nguyen-Roach,Vintage Crystal Red Wine,1.0,39.0,vintage crystal red wine,2.0,66.66666666666666,785.97,95.27255536564965,1
72591450,"Allen, Murray and Carroll","Bishop, Kelley and Wright",Custom Build Dell Optiplex 9020\nMT i5-4570 3.20GHz Desktop\nComputer PC,3.0,732.57,custom build dell optiplex 9020nmt i54570 320ghz desktopncomputer pc,3 ikea stainless steel 4bottle,batch1-0494.jpg,84652373,Clark-Foster,Nguyen-Roach,3 Ikea Stainless Steel 4-bottle,4.0,110.0,3 ikea stainless steel 4bottle,-1.0,33.33333333333333,622.57,84.98437009432546,1
35593328,Alexander-Arias,Cruz-Carter,hp all in one desktop computer touch screen,4.0,902.0,hp all in one desktop computer touch screen,lolita wine bouquet hand,batch1-0494.jpg,84652373,Clark-Foster,Nguyen-Roach,"Lolita ""Wine Bouquet"" Hand",1.0,22.0,lolita wine bouquet hand,3.0,75.0,880.0,97.5609756097561,1
35593328,Alexander-Arias,Cruz-Carter,W5 Pro Mini Pocket PC Windows 10 Computer Stick Intel Z8350 Quad Core,3.0,392.7,w5 pro mini pocket pc windows 10 computer stick intel z8350 quad core,lolita wine bouquet hand,batch1-0494.jpg,84652373,Clark-Foster,Nguyen-Roach,"Lolita ""Wine Bouquet"" Hand",1.0,22.0,lolita wine bouquet hand,2.0,66.66666666666666,370.7,94.39775910364145,1
