DateTime,IP_Address,Method,URI_Stem,Status,Bytes,Country
2026-01-15 20:07:18,102.129.96.240,GET,/services/realtime_threat_map,500,8034,South Africa
2026-01-15 20:28:18,102.129.1.207,GET,/tools/automated_risk_score,500,3998,South Africa
2026-01-15 21:43:18,197.242.138.159,GET,/ai/advisory_chat_start,200,6149,South Africa
2026-01-15 21:59:18,197.242.63.120,GET,/portal/dashboard.html,200,7828,South Africa
2026-01-15 22:48:18,197.215.49.119,GET,/portal/dashboard.html,200,4785,Zambia
2026-01-15 23:11:18,197.242.147.115,GET,/portal/dashboard.html,200,6167,South Africa
2026-01-15 23:24:18,102.129.151.160,GET,/services/realtime_threat_map,200,8287,South Africa
2026-01-15 23:25:18,196.44.56.244,GET,/portal/dashboard.html,200,8764,Namibia
2026-01-16 00:07:18,196.44.115.10,GET,/ai/advisory_chat_start,500,2962,Namibia
2026-01-16 00:44:18,41.222.15.177,GET,/services/realtime_threat_map,200,6211,Zambia
2026-01-16 01:51:18,196.216.221.68,GET,/portal/dashboard.html,404,2963,Botswana
2026-01-16 02:02:18,102.129.249.185,GET,/portal/dashboard.html,200,7866,South Africa
2026-01-16 02:17:18,196.216.23.153,GET,/portal/dashboard.html,500,5365,Botswana
2026-01-16 03:43:18,154.250.165.127,GET,/ai/advisory_chat_start,200,3442,Zimbabwe
2026-01-16 03:46:18,197.242.159.128,GET,/services/realtime_threat_map,404,5215,South Africa
2026-01-16 03:56:18,102.129.148.2,GET,/portal/dashboard.html,200,9634,South Africa
2026-01-16 04:47:18,197.242.207.37,GET,/ai/advisory_chat_start,500,4685,South Africa
2026-01-16 05:05:18,197.188.217.126,GET,/portal/dashboard.html,404,2220,Namibia
2026-01-16 05:08:18,168.167.69.7,GET,/portal/dashboard.html,200,8361,Botswana
2026-01-16 05:11:18,197.215.13.225,GET,/portal/dashboard.html,200,4854,Zambia
2026-01-16 05:28:18,196.216.74.210,GET,/ai/advisory_chat_start,404,4785,Botswana
2026-01-16 06:00:18,196.216.165.23,GET,/portal/dashboard.html,200,8149,Botswana
