2026-04-24 11:44:19.346822: admin logged in as Administrator
[2026-04-25 08:27:38] USER: admin | ROLE: Administrator | ACTION: Logged In
[2026-04-25 08:35:14] USER: admin | ROLE: Administrator | ACTION: Logged In
[2026-04-25 08:36:56] USER: admin | ROLE: Administrator | ACTION: Logged Out
[2026-04-25 08:52:06] USER: admin | ROLE: Administrator | ACTION: Logged In
[2026-04-25 09:02:26] USER: admin | ROLE: Administrator | ACTION: Logged In
[2026-04-25 09:02:49] USER: admin | ROLE: Administrator | ACTION: Logged Out
[2026-04-25 09:05:27] USER: admin | ROLE: Administrator | ACTION: Logged In
[2026-04-25 09:40:48] USER: admin | ROLE: Administrator | ACTION: Logged In
[2026-04-25 09:42:19] USER: admin | ROLE: Administrator | ACTION: Logged Out
[2026-04-25 10:07:38] USER: guest_viewer | ROLE: Viewer | ACTION: Logged In
[2026-04-25 10:08:00] USER: guest_viewer | ROLE: Viewer | ACTION: Logged Out
[2026-04-26 21:09:39] USER: admin | ROLE: Administrator | ACTION: Logged In
